No,Page URL,Catagory Tree,Brand Name,Product Name,Description,Listed Price,Discounted Price,Off,Save,Offer,SKU,Manufacturer Number
1,https://www.jarir.com/sa-en/astro-a30-headsets-595893.html,Sony PS5 Accessories>Astro A30 Gaming Headset,Astro,Astro A30 Gaming Headset,Bluetooth/Wireless| USB (Charging)| Detachable Microphone| White,999,739,26%,260,,595893,939001994
2,https://www.jarir.com/sa-en/astro-a30-headsets-595892.html,Sony PS5 Accessories>Astro A30 Gaming Headset,Astro,Astro A30 Gaming Headset,Bluetooth/Wireless| USB (Charging)| Detachable Microphone| Navy,999,739,26%,260,,595892,939002008
3,https://www.jarir.com/sa-en/logitech-pro-x2-headsets-620392.html,Sony PS5 Accessories>Logitech G PRO X 2 LIGHTSPEED Gaming Headset,Logitech,Logitech G PRO X 2 LIGHTSPEED Gaming Headset,Wireless| USB| Detachable Microphone| Black,1159,899,22%,260,,620392,981001263
4,https://www.jarir.com/sa-en/logitech-pro-x2-headsets-620393.html,Sony PS5 Accessories>Logitech G Pro X2 LIGHTSPEED Gaming Headset,Logitech,Logitech G Pro X2 LIGHTSPEED Gaming Headset,Wireless| USB| Detachable Microphone| White,1159,899,22%,260,,620393,981001269
5,https://www.jarir.com/sa-en/corsair-hs80-headsets-595709.html,Sony PS5 Accessories>CORSAIR HS80 RGB Wired Gaming Headset,CORSAIR,CORSAIR HS80 RGB Wired Gaming Headset,Wired| USB| Rotating Microphone| Carbon,515,299,41%,216,,595709,CA9011237EU
6,https://www.jarir.com/sa-en/astro-a50-x-headsets-632431.html,Sony PS5 Accessories>Astro A50 X LIGHTSPEED + Base Station Gaming Headset,Astro,Astro A50 X LIGHTSPEED + Base Station Gaming Headset,Noise Reduction| Bluetooth/Wireless| USB-C| Omnidirectional Microphone| Black,1799,1599,11%,200,,632431,939002128
7,https://www.jarir.com/sa-en/astro-a50-x-headsets-632432.html,Sony PS5 Accessories>Astro A50 X LIGHTSPEED + Base Station Gaming Headset,Astro,Astro A50 X LIGHTSPEED + Base Station Gaming Headset,Noise Reduction| Bluetooth/Wireless| USB-C| Omnidirectional Microphone| White,1799,1599,11%,200,,632432,939002134
8,https://www.jarir.com/sa-en/razer-kaira-headsets-621783.html,Sony PS5 Accessories>Razer Kaira HyperSpeed PlayStation Licensed Gaming Headset,Razer,Razer Kaira HyperSpeed PlayStation Licensed Gaming Headset,Passive Noise Isolation| Wireless| USB (Charging)| Unidirectional Microphone| White,619,419,32%,200,,621783,403980200R3G1
9,https://www.jarir.com/sa-en/logitech-g-pro-x-headsets-536889.html,PC Gaming Headset & Speakers>Logitech G Pro X Gaming Headset,Logitech,Logitech G Pro X Gaming Headset,Wired| USB| Detachable Microphone| Black,629,449,28%,180,,536889,981000818
10,https://www.jarir.com/sa-en/logitech-headsets-565662.html,PC Gaming Headset & Speakers>Logitech G733 LIGHTSPEED Gaming Headset,Logitech,Logitech G733 LIGHTSPEED Gaming Headset,Wireless| USB| Detachable Microphone| White,679,499,26%,180,,565662,981000883
