No,Page URL,Catagory Tree,Brand Name,Product Name,Description,Listed Price,Discounted Price,Off,Save,Offer,SKU,Manufacturer Number
1,https://www.jarir.com/sa-en/astro-a30-headsets-595893.html,Sony PS5 Accessories>Astro A30 Gaming Headset,Astro,Astro A30 Gaming Headset,Bluetooth/Wireless| USB (Charging)| Detachable Microphone| White,999,739,26%,260,,595893,939001994
2,https://www.jarir.com/sa-en/astro-a30-headsets-595892.html,Sony PS5 Accessories>Astro A30 Gaming Headset,Astro,Astro A30 Gaming Headset,Bluetooth/Wireless| USB (Charging)| Detachable Microphone| Navy,999,739,26%,260,,595892,939002008
3,https://www.jarir.com/sa-en/logitech-pro-x-headsets-550129.html,PC Gaming Headset & Speakers>Logitech G Pro X LIGHTSPEED Gaming Headset,Logitech,Logitech G Pro X LIGHTSPEED Gaming Headset,Wireless| USB| Bidirectional Microphone| Black,799,619,22%,180,,550129,981000907
4,https://www.jarir.com/sa-en/logitech-headsets-525735.html,PC Gaming Headset & Speakers>Logitech G432 Gaming Headset,Logitech,Logitech G432 Gaming Headset,Wired| USB| Cardioid - Unidirectional Microphone| Black,349,199,42%,150,,525735,981000770
5,https://www.jarir.com/sa-en/logitech-g535-headsets-587693.html,PC Gaming Headset & Speakers>Logitech G535 LIGHTSPEED Gaming Headset,Logitech,Logitech G535 LIGHTSPEED Gaming Headset,Wireless| USB (Charging)| Rotating Microphone| Black,449,349,22%,100,,587693,981000972
6,https://www.jarir.com/sa-en/logitech-headsets-586255.html,PC Gaming Headset & Speakers>Logitech G733 LIGHTSPEED Gaming Headset,Logitech,Logitech G733 LIGHTSPEED Gaming Headset,Wireless| USB| Detachable Microphone| Blue,449,359,20%,90,,586255,981000943
7,https://www.jarir.com/sa-en/logitech-headsets-525737.html,PC Gaming Headset & Speakers>Logitech G332 Prodigy Gaming Headset,Logitech,Logitech G332 Prodigy Gaming Headset,Wired| 3.5 mm Connector| Cardioid - Unidirectional Microphone| Black,199,139,30%,60,,525737,981000757
8,https://www.jarir.com/sa-en/steelseries-arctis-nova-pro-renewed-headsets-636736.html,PC Gaming Headset & Speakers>Renewed Grade B SteelSeries Arctis Nova Pro PlayStation 4,SteelSeries,Renewed Grade B SteelSeries Arctis Nova Pro PlayStation 4,PlayStation 5| PC| Switch Gaming Headset| Active Noise Cancelling| Bluetooth/Wireless| USB-C| Retractable Microphone|,1799,749,58%,1050,,636736,61520RB
9,https://www.jarir.com/sa-en/astro-a30-renewed-headsets-638713.html,Sony PS5 Accessories>Renewed Grade B Astro A30 Gaming Headset,Astro,Renewed Grade B Astro A30 Gaming Headset,Bluetooth/Wireless| USB (Charging)| Detachable Microphone| Navy,1349,449,66%,900,,638713,939002008RB
10,https://www.jarir.com/sa-en/steelseries-arctis-nova-7p-renewed-headsets-638240.html,Sony PS5 Accessories>Renewed Grade B SteelSeries Arctis Nova 7P Gaming Headset,SteelSeries,Renewed Grade B SteelSeries Arctis Nova 7P Gaming Headset,Noise Cancelling Microphone| Bluetooth/Wireless| USB (Charging)| Retractable/Bidirectional Microphone| Black,959,399,58%,560,,638240,61559RB
